Release_Date,Title,Production company,Cast and crew,Genre
18-Apr-13,Java Heat,IFC Films,"Conor Allyn (director); Rob Allyn (screenplay); Kellan Lutz, Mickey Rourke, Atiqah Hasiholan, Ario Bayu, Uli Auliani, Nick McKinless, Mike Muliadro, Mike Duncan, Rio Dewanto, Brent Duke",
19-Apr-13,Home Run,Samuel Goldwyn Films / Provident Films,"David Boyd (director); Brian Brightly, Candace Lee, Eric Newman, Melanie Wistar (Screenplay); Scott Elrod, Dorian Brown, Vivica A. Fox, Charles Henry Wyson",
19-Apr-13,The Lords of Salem,Anchor Bay Films,"Rob Zombie (director/screenwriter); Sheri Moon Zombie, Bruce Davison, Jeff Daniel Phillips, Meg Foster, Sid Haig, Lisa Marie",
24-Apr-13,At Any Price,Sony Pictures Classics,"Ramin Bahrani (director/screenplay); Zac Efron, Dennis Quaid, Heather Graham, Clancy Brown, Chelcie Ross, Kim Dickens, Red West, Ben Marten, Maika Monroe, Sophie Curtis",
24-Apr-13,Iron Man 3,Marvel Studios / Paramount Pictures,"Shane Black (director/screenplay); Drew Pearce (screenplay); Robert Downey Jr., Ben Kingsley, Don Cheadle, Gwyneth Paltrow, Guy Pearce, James Badge Dale, Ashley Hamilton, Rebecca Hall, Jon Favreau, Paul Bettany, Stéphanie Szostak, William Sadler",
26-Apr-13,Arthur Newman,Cinedigm Entertainment,"Dante Ariola (director) Becky Johnston (screenplay); Colin Firth, Emily Blunt, Anne Heche, Sterling Beaumon, David Andrews, Peter Jurasik, Lucas Hedges, Steve Coulter, Michael Beasley, Nicole LaLiberte, Autumn Dial",
26-Apr-13,The Big Wedding,Lionsgate / Millennium Films,"Justin Zackham (director/screenplay); Robert De Niro, Katherine Heigl, Diane Keaton, Amanda Seyfried, Topher Grace, Ben Barnes, Christine Ebersole, Susan Sarandon, Robin Williams",
26-Apr-13,The Look of Love,Film4 Productions,"Michael Winterbottom (director) Matt Greenhalgh (screenplay); Steve Coogan, Imogen Poots, Anna Friel, Tamsin Egerton, David Walliams, Chris Addison, Shirley Henderson, James Lance, Paul Popplewell, Sarah Solemani, Vera Filatova, Matthew Beard, Simon Bird, Kieran O'Brien, Matt Lucas, Stephen Fry, Miles Jupp, Peter Wight, Liam Boyle",
26-Apr-13,Mud,Lionsgate / Roadside Attractions,"Jeff Nichols (director/screenplay); Matthew McConaughey, Reese Witherspoon, Michael Shannon, Sarah Paulson, Sam Shepard, Stuart Greer, Joe Don Baker, Paul Sparks, Ray McKinnon, Tye Sheridan, Jacob Lofland, Michael Abbott Jr.",
26-Apr-13,Pain & Gain,Paramount Pictures,"Michael Bay (director); Christopher Markus, Stephen McFeely, Scott Rosenberg (screenplay); Mark Wahlberg, Dwayne Johnson, Ed Harris, Ken Jeong, Anthony Mackie, Tony Shalhoub, Rebel Wilson, Rob Corddry",
26-Apr-13,So Young,China Film Group Corporation,"Zhao Wei (director); Li Qiang (screenplay); Mark Chao, Tong Liya, Han Geng, Pan Hong, Yang Lan, Han Hong, Yang Zishan, Jiang Shuying, Bao Beier, Zheng Kai, Zhang Yao, Liu Yase, Wang Jiajia, Huang Ming",
3-May-13,Bombay Talkies,Viacom18 Motion Pictures,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee (director); Amitabh Bachchan, Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Vineet Kumar, Sadashiv Amrapurkar, Katrina Kaif",
3-May-13,Greetings from Tim Buckley,Focus World,"Daniel Algrant (director/screenplay); Emma Sheanshang, David Brendel (Screenplay); Penn Badgley, Ben Rosenfield, Imogen Poots, Frank Wood, Norbert Leo Butz, Frank Bello, William Sadler, Kate Nash",
3-May-13,The Iceman,Millennium Entertainment,"Ariel Vromen (director/screenplay); Morgan Land (screenplay), Michael Shannon, Winona Ryder, Chris Evans, Ray Liotta, James Franco, David Schwimmer, Stephen Dorff, Erin Cummings, Robert Davi",
3-May-13,Kiss of the Damned,Magnolia Pictures,"Alexandra Cassavetes (director/screenplay); Milo Ventimiglia, Joséphine de La Baume, Roxane Mesquida, Anna Mouglalis",
3-May-13,Shootout at Wadala,Balaji Motion Pictures,"Sanjay Gupta (director/screenplay); Sanjay Bhatia, Abhijit Deshpand (screenplay); John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut",
3-May-13,What Maisie Knew,Millennium Entertainment,"Scott McGehee, David Siegel (director); Nancy Doyne, Carroll Cartwright (screenplay); Julianne Moore, Steve Coogan, Alexander Skarsgård, Joanna Vanderham, Onata Aprile",
9-May-13,Star Trek Into Darkness,Paramount Pictures / Skydance Productions / Bad Robot Productions,"J. J. Abrams (director); Roberto Orci, Alex Kurtzman, Damon Lindelof (screenplay); Chris Pine, Zachary Quinto, Benedict Cumberbatch, Simon Pegg, Karl Urban, John Cho, Alice Eve, Leonard Nimoy, Peter Weller, Zoe Saldana, Anton Yelchin, Bruce Greenwood",
10-May-13,Aftershock,Dimension Films,"Nicolas Lopez (director/screenplay); Eli Roth, Guillermo Amoedo (screenplay); Eli Roth, Andrea Osvárt, Selena Gomez, Ariel Levy, Nicolas Martinez, Lorenza Izzo, Natasha Yarovenko",
10-May-13,Go Goa Gone,Eros International,"Raj Nidimoru and Krishna D.K. (director/Screenplay); Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta, Anand Tiwari",
10-May-13,The Great Gatsby,Warner Bros. Pictures / Village Roadshow Pictures,"Baz Luhrmann (director/screenplay); Leonardo DiCaprio, Tobey Maguire, Joel Edgerton, Carey Mulligan, Isla Fisher, Jason Clarke, Elizabeth Debicki, Amitabh Bachchan",
10-May-13,He's Way More Famous Than You,Gravitas Ventures,"Michael Urie (director); Halley Feiffer, Ryan Spahn (screenplay); Michael Urie, Jesse Eisenberg, Halley Feiffer, Ben Stiller, Vanessa L. Williams, Mamie Gummer",
10-May-13,No One Lives,Anchor Bay Films,"Ryuhei Kitamura (director); David Cohen (screenplay); Luke Evans, Adelaide Clemens, America Olivo, Derek Magyar, Lindsey Shaw, Brodus Clay",
10-May-13,Peeples,Lionsgate / 34th Street Films,"Tina Gordon Chism (director/screenplay); Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson, Tyler Williams, Melvin Van Peebles, Diahann Carroll, Malcolm Barrett, Kali Hawk, Ana Gasteyer, Kimrie Lewis-Davis",
17-May-13,Aurangzeb,Yash Raj Films,"Atul Sabharwal (director/screenplay); Prithviraj Sukumaran, Arjun Kapoor, Swara Bhaskar, Rishi Kapoor, Sikandar Kher, Jackie Shroff, Amrita Singh",
17-May-13,Black Rock,LD Entertainment,"Katie Aselton (director/screenplay); Mark Duplass (screenplay); Katie Aselton, Kate Bosworth, Lake Bell, Jay Paulson, Will Bouvier",
17-May-13,The English Teacher,Artina Films,"Craig Zisk (director/screenplay); Dan Chariton, Stacy Chariton (screenplay); Julianne Moore, Greg Kinnear, Michael Angarano, Nathan Lane, Lily Collins, Jessica Hecht, Norbert Leo Butz, Nikki Blonsky",
17-May-13,Fast & Furious 6,Universal Pictures / Relativity Media / Original Film,"Justin Lin (director); Chris Morgan (screenplay); Vin Diesel, Dwayne Johnson, Paul Walker, Michelle Rodriguez, Jordana Brewster, Luke Evans, Gina Carano, Tyrese Gibson, Rita Ora, Jason Statham, Joe Taslim",
17-May-13,Frances Ha,IFC Films,"Noah Baumbach (director/screenplay); Greta Gerwig (screenplay); Greta Gerwig, Charlotte d'Amboise, Adam Driver, Grace Gummer, Patrick Heusinger, Josh Hamilton, Justine Lupe, Britta Phillips, Juliet Rylance, Dean Wareham, Michael Zegen",
17-May-13,The Reluctant Fundamentalist,Mirabai Films,"Mira Nair (Director); Riz Ahmed, Kate Hudson, Liev Schreiber, Kiefer Sutherland, Om Puri, Shabana Azmi, Meesha Shafi and Imaad Shah",
23-May-13,The Hangover Part III,Warner Bros. Pictures / Legendary Pictures / Green Hat Films,"Todd Phillips (director/screenplay); Craig Mazin (screenplay); Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha, Ken Jeong, John Goodman, Heather Graham, Melissa McCarthy, Jeffrey Tambor",
24-May-13,Before Midnight,Sony Pictures Classics,"Richard Linklater (director/screenplay); Ethan Hawke, Julie Delpy (screenplay); Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Ariane Labed, Athina Rachel Tsangari, Xenia Kalogeropoulou, Walter Lassally, Charlotte Prior, Jennifer Prior",
24-May-13,Epic,20th Century Fox Animation / Blue Sky Studios,"Chris Wedge (director); James V. Hart, William Joyce, Daniel Shere, Tom J. Astle, Matt Ember (screenplay); Colin Farrell, Josh Hutcherson, Amanda Seyfried, Jason Sudeikis, Christoph Waltz, Beyoncé Knowles, Chris O'Dowd, Pitbull, Aziz Ansari",
30-May-13,Only God Forgives,RADiUS-TWC,"Nicolas Winding Refn (director/screenplay); Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm",
31-May-13,After Earth,Columbia Pictures / Overbrook Entertainment / Blinding Edge Pictures,"M. Night Shyamalan (director); Stephen Gaghan, Gary Whitta (screenplay); Jaden Smith, Will Smith, Isabelle Fuhrman, Zoë Kravitz",
31-May-13,Byzantium,StudioCanal,"Neil Jordan (director); Moira Buffini (screenplay); Saoirse Ronan, Gemma Arterton, Sam Riley, Jonny Lee Miller, Caleb Landry Jones, Tom Hollander",
31-May-13,The East,Fox Searchlight Pictures,"Zal Batmanglij (director/screenplay); Brit Marling (screenplay); Brit Marling, Alexander Skarsgård, Ellen Page, Julia Ormond, Patricia Clarkson",
31-May-13,The Kings of Summer,CBS Films,"Jordan Vogt-Roberts (director); Chris Galletta (screenplay); Nick Robinson, Gabriel Basso, Moisés Arias, Alison Brie, Nick Offerman, Megan Mullally",
31-May-13,Now You See Me,Summit Entertainment,"Louis Leterrier (director); Josh Appelbaum, André Nemec, Ed Solomon, Boaz Yakin, Edward Ricourt (screenplay); Jesse Eisenberg, Isla Fisher, Morgan Freeman, Woody Harrelson, Mark Ruffalo, Michael Caine, Common, Dave Franco, Elias Koteas, Laura Cayouette, David Warshofsky",
31-May-13,The Purge,Universal Pictures / Blumhouse Productions / Platinum Dunes,"James DeMonaco (director/screenplay); Ethan Hawke, Lena Headey, Max Burkholder, Tony Oller, Edwin Hodge, Rhys Wakefield, Adelaide Kane, Arija Bareikis, Chris Mulkey, Karen Strassman",
31-May-13,Yeh Jawaani Hai Deewani,Eros International,"Ayan Mukerji (director/screenplay); Ranbir Kapoor, Deepika Padukone, Kalki Koechlin, Aditya Roy Kapur, Kunaal Roy Kapur, Evelyn Sharma, Farooq Sheikh, Tanvi Azmi, Dolly Ahluwalia, Poorna Jagannathan, Rana Daggubati, Madhuri Dixit",
7-Jun-13,Hello Herman,Freestyle Releasing,"Michelle Danner (director) John Buffalo Mailer (screenplay); Norman Reedus, Martha Higareda, Rob Estes, Alex Neuberger, Lindsay Bushman, Garrett Backstrom, Sabrina Debler, Olivia Faye, Andy McPhee, Jake White, Arielle Sitrick",
7-Jun-13,The Internship,20th Century Fox / Regency Enterprises / 21 Laps Entertainment,"Shawn Levy (director); Vince Vaughn, Jared Stern (screenplay); Vince Vaughn, Owen Wilson, Dylan O'Brien, Rose Byrne, Jessica Szohr, Max Minghella, Aasif Mandvi, John Goodman, Will Ferrell, JoAnna Garcia, Eric Andre, Josh Brener, Tiya Sircar, Tobit Raphael, Josh Gad",
7-Jun-13,Much Ado About Nothing,Lionsgate / Roadside Attractions,"Joss Whedon (director/screenplay); Amy Acker, Nathan Fillion, Clark Gregg, Fran Kranz",
7-Jun-13,Tiger Eyes,Freestyle Releasing,"Lawrence Blume (director/screenplay); Judy Blume (screenplay); Willa Holland, Amy Jo Johnson, Cynthia Stevenson, Teo Olivares, Russell Means, Forest Fyre, Elise Eberle, Tatanka Means",
7-Jun-13,Violet & Daisy,GreeneStreet Films / Magic Violet,"Geoffrey S. Fletcher (director/screenplay); Saoirse Ronan, Alexis Bledel, Danny Trejo, James Gandolfini, Marianne Jean-Baptiste",
12-Jun-13,This Is the End,Columbia Pictures / Mandate Pictures / Point Grey Pictures,"Evan Goldberg, Seth Rogen (directors/screenplay); Seth Rogen, Jay Baruchel, James Franco, Craig Robinson, Danny McBride, Jonah Hill, Emma Watson, Jason Segel, Paul Rudd, Michael Cera, Rihanna, Kevin Hart, David Krumholtz, Mindy Kaling, Aziz Ansari, Christopher Mintz-Plasse",
14-Jun-13,The Bling Ring,A24,"Sofia Coppola (director/screenplay); Emma Watson, Israel Broussard, Katie Chang, Claire Julien, Taissa Farmiga, Leslie Mann, Gavin Rossdale, Paris Hilton",
14-Jun-13,Fukrey,Excel Entertainment,"Mrighdeep Singh Lamba (director/screenplay); Vipul Vig (screenplay); Pulkit Samrat, Manjot Singh, Ali Fazal, Priya Anand, Richa Chadda, Vishakha Singh, Pankaj Tripathi",
14-Jun-13,Hatchet III,Dark Sky Films / ArieScope Pictures,"Adam Green (director/screenplay); Kane Hodder, Danielle Harris, Zach Galligan, Caroline Williams, Robert Diago DoQui, Rileah Vanderbilt, Derek Mears, Cody Blue Snider, Sean Whalen, Jason Trost, Diane Ayala Goldner, Parry Shen, Sid Haig, John Michael Sudolt, Joel David Moore",
14-Jun-13,Man of Steel,Warner Bros. Pictures / Legendary Pictures / DC Entertainment / Syncopy Peters Entertainment,"Zack Snyder (director); David S. Goyer (screenplay); Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane, Laurence Fishburne, Antje Traue, Ayelet Zurer, Russell Crowe",
16-Jun-13,My Little Pony: Equestria Girls,Hasbro Studios,"Jayson Thiessen (director); Meghan McCarthy (screenplay); Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Nicole Oliver",
21-Jun-13,Monsters University,Walt Disney Pictures / Pixar Animation Studios,"Dan Scanlon (director/screenplay); Daniel Gerson, Robert L. Baird (screenplay); Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren, Peter Sohn, Joel Murray, Sean Hayes, Dave Foley, Charlie Day, Alfred Molina, Tyler Labine, Nathan Fillion, Aubrey Plaza, Bobby Moynihan, Noah Johnston, Julia Sweeney, Bonnie Hunt, John Krasinski, Bill Hader, Beth Behrs, Bob Peterson, John Ratzenberger, Lori Alan, Carlos Alazraqui, Jack Angel, Bob Bergen, Gregg Berger, Rodger Bumpass, Neil Campbell, Patrick Carlyle, Sean Conroy, John Cygan, Greg Dykstra, Paul Eiding, Jessica Evans, Bill Farmer, Keith Ferguson, Andy Fischer-Price, Don Fullilove, Teresa Ganzel, Daniel Gerson, Mike Hanford, Jess Harnell, Brandon Johnson, John Kassir, Elissa Knight, Lindsay Lefler, Dawnn Lewis, Sherry Lynn, Danny Mann, Jason Marsden, Mona Marshall, Tricia McAlpin, Mickie McGowan, Allan McLeod, Alec Medlock, Matthew Mercer, Pam Murphy, David Neher, Laraine Newman, Colleen O'Shaughnessey, Bret Parker, Donovan Patton, Dannah Phirman, Jeff Pidgeon, Cristina Pucelli, Jan Rabson, Dan Scanlon, Patrick Seitz, Betsy Sodaro, Joel Spence, Mindy Sterling, Tara Strong, Dave Theune, Marcia Wallace, James Kevin Ward, Colette Whitaker, April Winchell",
21-Jun-13,This Is Martin Bonner,Monterey Media,"Chad Hartigan (director/screenplay); Paul Eenhoorn, Richmond Arquette, Sam Buchanan, Robert Longstreet, Demetrius Grosse",
21-Jun-13,World War Z,Paramount Pictures / Plan B Entertainment / Skydance Productions / Hemisphere Media Capital / GK Films,"Marc Forster (director); Matthew Michael Carnahan, Drew Goddard (screenplay); Brad Pitt, Mireille Enos, Ruth Negga, James Badge Dale, Daniella Kertesz, Matthew Fox, David Morse",
26-Jun-13,How to Make Money Selling Drugs,Tribeca Film,Matthew Cooke (director),
28-Jun-13,100 Bloody Acres,Cyan Films,"Colin Cairnes, Cameron Cairnes (director/screenplay); Damon Herriman, Angus Sampson, Anna McGahan, Oliver Ackland, John Jarratt, Paul Blackwell, Jamie Kristian",
28-Jun-13,Copperhead,The Film Collective,"Ronald F. Maxwell (director); Bill Kauffman (screenplay); Billy Campbell, Angus Macfadyen, Peter Fonda, Augustus Prew, Lucy Boynton, François Arnaud, Casey Thomas Brown, Josh Cruddas, Genevieve Steele",
28-Jun-13,The Heat,20th Century Fox / Chernin Entertainment,"Paul Feig (director); Katie Dippold, Lee Eisenberg, Gene Stupnitsky (screenplay); Sandra Bullock, Melissa McCarthy, Kaitlin Olson, Tony Hale, Demián Bichir, Michael Rapaport, Taran Killam, Thomas F. Wilson",
28-Jun-13,Redemption,Lionsgate / Roadside Attractions,"Steven Knight (director); Jason Statham, Agata Buzek, Christian Brassington, Vicky McClure, Benedict Wong, Ger Ryan",
28-Jun-13,Some Girl(s),Leeden Media,"Daisy von Scherler Mayer (director); Neil LaBute (screenplay); Adam Brody, Kristen Bell, Zoe Kazan, Mía Maestro, Jennifer Morrison, Emily Watson",
28-Jun-13,White House Down,Columbia Pictures / Centropolis Entertainment,"Roland Emmerich (director); James Vanderbilt (screenplay); Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, James Woods, Richard Jenkins, Joey King, Jason Clarke",
3-Jul-13,Despicable Me 2,Universal Pictures / Illumination Entertainment,"Chris Renaud, Pierre Coffin (directors); Cinco Paul, Ken Daurio (screenplay); Steve Carell, Kristen Wiig, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Russell Brand, Pierre Coffin, Benjamin Bratt, Steve Coogan, Ken Jeong, Kristen Schaal, Moisés Arias, Chris Renaud, Vanessa Bayer, Nickolai Stoilov",
3-Jul-13,Kevin Hart: Let Me Explain,Summit Entertainment,Leslie Small (director); Kevin Hart,
3-Jul-13,The Lone Ranger,Walt Disney Pictures / Jerry Bruckheimer Films,"Gore Verbinski (director); Ted Elliott, Terry Rossio, Eric Aronson, Justin Haythe (screenplay); Armie Hammer, Johnny Depp, Ruth Wilson, William Fichtner, Helena Bonham Carter, James Badge Dale, Barry Pepper, Tom Wilkinson, James Frain",
5-Jul-13,Bad Words,Darko Entertainment / Focus Features,"Jason Bateman (director); Andrew Dodge (screenplay); Jason Bateman, Kathryn Hahn, Rohan Chand, Ben Falcone, Philip Baker Hall, Allison Janney",
5-Jul-13,Hammer of the Gods,Magnet Releasing,"Farren Blackburn (directors); Matthew Read (screenplay); Charlie Bewley, Clive Standen, Michael Jibson, James Cosmo, Elliot Cowan, Glynis Barber, Ivan Kaye",
5-Jul-13,Lootera,Balaji Motion Pictures,"Vikramaditya Motwane (director/screenplay); Bhavani Iyer (screenplay); Ranveer Singh, Sonakshi Sinha, Barun Chanda, Vikrant Massey, Arif Zakaria, Adil Hussain, Divya Dutta, Shirin Guha",
5-Jul-13,Mortal Kombat 3D,New Line Cinema,"Paul Anderson (director); Linden Ashby, Cary-Hiroyuki Tagawa, Robin Shou, Bridgette Wilson, Talisa Soto, Christopher Lambert",
5-Jul-13,Stuck in Love,Millennium Entertainment,"Josh Boone (director/screenplay); Greg Kinnear, Jennifer Connelly, Lily Collins, Logan Lerman, Nat Wolff, Liana Liberato, Stephen King",
5-Jul-13,The Way Way Back,Fox Searchlight Pictures / OddLot Entertainment,"Nat Faxon, Jim Rash (directors/screenplay); Steve Carell, Toni Collette, Allison Janney, AnnaSophia Robb, Sam Rockwell, Maya Rudolph, Liam James, Amanda Peet, Rob Corddry",
12-Jul-13,Bhaag Milkha Bhaag,Reliance Entertainment,"Rakeysh Omprakash Mehra (director); Prasoon Joshi (screenplay); Farhan Akhtar, Sonam Kapoor, Divya Dutta, Dev Gill, Meesha Shafi, Yograj Singh, Art Malik, Prakash Raj, Pavan Malhotra, Rebecca Breeds, Dalip Tahil",
12-Jul-13,Dealin' with Idiots,IFC Films,"Jeff Garlin (director/screenplay); Jeff Garlin, Christopher Guest, Fred Willard, Bob Odenkirk, J. B. Smoove, Gina Gershon, Kerri Kenney-Silver, Jami Gertz, Timothy Olyphant, Richard Kind, Steve Agee, Jim Sheridan, Nia Vardalos",
12-Jul-13,Fruitvale Station,The Weinstein Company,"Ryan Coogler (director/screenplay); Michael B. Jordan, Octavia Spencer, Melonie Diaz, Ahna O'Reilly, Kevin Durand, Chad Michael Murray",
12-Jul-13,Grown Ups 2,Columbia Pictures / Happy Madison Productions,"Dennis Dugan (director); Fred Wolf (screenplay); Adam Sandler, Kevin James, Chris Rock, David Spade, Taylor Lautner, David Henrie, Patrick Schwarzenegger, Nick Swardson, Cheri Oteri, Salma Hayek, Steve Buscemi, Milo Ventimiglia, Maria Bello, Aly Michalka, Maya Rudolph, Alexander Ludwig, Andy Samberg, Steve Austin, Will Forte, Taran Killam, Jon Lovitz, Akiva Schaffer, Jorma Taccone, Tim Meadows, Shaquille O'Neal, Colin Quinn, Bobby Moynihan, Paul Brittain",
12-Jul-13,Killing Season,Millennium Entertainment,"Mark Steven Johnson (director); Evan Daugherty (screenplay); Robert De Niro, John Travolta, Milo Ventimiglia, Elizabeth Olin",
12-Jul-13,Pacific Rim,Warner Bros. Pictures / Legendary Pictures,"Guillermo del Toro (director); Travis Beacham (screenplay); Charlie Hunnam, Ellen McLain, Idris Elba, Charlie Day, Rinko Kikuchi, Max Martini, Robert Kazinsky, Clifton Collins Jr., Diego Klattenhoff, Ron Perlman, Robert Maillet, Burn Gorman, Heather Doerksen",
12-Jul-13,V/H/S/2,Magnolia Pictures,"Adam Wingard, Eduardo Sánchez, Gareth Evans, Gregg Hale (directors/screenplay); Kelsy Abbott, Fachri Albar, Oka Antara, Devon Brookshire, Bette Cassatt, L.C. Holt, Hannah Hughes, Kevin Hunt, Lawrence Michael Levine, Mindy Robinson",
13-Jul-13,Pokémon the Movie: Genesect and the Legend Awakened,"Toho / OLM, Inc.","Kunihiko Yuyama (director); Rica Matsumoto, Ikue Ōtani, Aoi Yūki, Mamoru Miyano, Megumi Hayashibara, Shinichirō Miki, Inuko Inuyama, Unshō Ishizuka, Kōichi Yamadera, Reiko Takashima",
17-Jul-13,Turbo,20th Century Fox / DreamWorks Animation,"David Soren (director/screenplay); Robert Siegel, Darren Lemke (screenplay); Ryan Reynolds, Paul Giamatti, Michael Peña, Luis Guzmán, Bill Hader, Richard Jenkins, Ken Jeong, Michelle Rodriguez, Maya Rudolph, Ben Schwartz, Kurtwood Smith, Snoop Dogg, Samuel L. Jackson",
19-Jul-13,The Conjuring,Warner Bros. Pictures / New Line Cinema,"James Wan (director); Chad Hayes, Carey Hayes (screenplay); Patrick Wilson, Vera Farmiga, Ron Livingston, Lili Taylor, Shannon Kook, Mackenzie Foy, Joey King, Shanley Caswell, Hayley McFarland, Steve Coulter, John Brotherton",
19-Jul-13,D-Day,DAR Motion Pictures,"Nikkhil Advani (director/screenplay); Ritesh Shah, Suresh Nair (screenplay); Arjun Rampal, Irrfan Khan, Huma Qureshi, Rishi Kapoor, Shruti Haasan, Nassar, Sandeep Kulkarni, K. K. Raina, Chandan Roy Sanyal, Imran Hasnee, Maryam Zakaria",
19-Jul-13,Girl Most Likely,Lionsgate,"Robert Pulcini, Shari Springer Berman (directors); Michelle Morgan (screenplay); Kristen Wiig, Annette Bening, Matt Dillon, Christopher Fitzgerald, Darren Criss",
19-Jul-13,R.I.P.D.,Universal Pictures / Original Film,"Robert Schwentke (director); Matt Manfredi, Phil Hay (screenplay); Ryan Reynolds, Jeff Bridges, Kevin Bacon, Stéphanie Szostak, Mary-Louise Parker, Marisa Miller, Mike O'Malley, James Hong, Robert Knepper",
19-Jul-13,RED 2,Summit Entertainment / DC Comics,"Dean Parisot (director); Erich Hoeber, Jon Hoeber (screenplay); Bruce Willis, John Malkovich, Helen Mirren, Mary-Louise Parker, Catherine Zeta-Jones, Byung-hun Lee, Karl Urban, Neal McDonough, Anthony Hopkins, David Thewlis",
19-Jul-13,The World's End,Focus Features / Relativity Media / Working Title Films,"Edgar Wright (director/screenplay); Simon Pegg (screenplay); Simon Pegg, Nick Frost, Paddy Considine, Martin Freeman, Eddie Marsan, Rosamund Pike, Pierce Brosnan",
24-Jul-13,The Wolverine,20th Century Fox / Marvel Entertainment,"James Mangold (director); Christopher McQuarrie, Mark Bomback (screenplay); Hugh Jackman, Famke Janssen, Hiroyuki Sanada, Hal Yamanouchi, Tao Okamoto, Rila Fukushima, Will Yun Lee, Svetlana Khodchenkova, Brian Tee",
26-Jul-13,Blue Jasmine,Sony Pictures Classics,"Woody Allen (director, screenwriter); Alec Baldwin, Cate Blanchett, Bobby Cannavale, Louis C.K., Andrew Dice Clay, Sally Hawkins, Peter Sarsgaard, Michael Stuhlbarg",
26-Jul-13,Romeo and Juliet,Relativity Media,"Carlo Carlei (director); Julian Fellowes (screenplay); Hailee Steinfeld, Douglas Booth, Damian Lewis, Natascha McElhone, Lesley Manville, Ed Westwick, Tomas Arana, Laura Morante, Kodi Smit-McPhee, Paul Giamatti, Christian Cooke, Tom Wisdom, Leon Vitali, Stellan Skarsgård",
26-Jul-13,The To Do List,CBS Films,"Maggie Carey (director/screenplay); Aubrey Plaza, Rachel Bilson, Bill Hader, Andy Samberg, Scott Porter, Connie Britton, Clark Gregg, Christopher Mintz-Plasse, Donald Glover, Johnny Simmons, Sarah Steele, Alia Shawkat, Nolan Gould",
31-Jul-13,The Smurfs 2,Columbia Pictures / Sony Pictures Animation / The Kerner Entertainment Company,"Raja Gosnell (director); J. David Stern, David N. Weiss, Karey Kirkpatrick, Jay Sherick, David Ronn (screenplay); Neil Patrick Harris, Jayma Mays, Hank Azaria, Tim Gunn, Brendan Gleeson, Katy Perry, Jonathan Winters, Alan Cumming, Fred Armisen, George Lopez, Anton Yelchin, John Oliver, Christina Ricci, J. B. Smoove, Christopher Mintz-Plasse, Frank Welker",
2-Aug-13,2 Guns,Universal Pictures,"Baltasar Kormákur (director); Blake Masters (screenplay); Mark Wahlberg, Denzel Washington, Paula Patton, Bill Paxton, Edward James Olmos, James Marsden, Allie DeBerry",
2-Aug-13,The Canyons,IFC Films,"Paul Schrader (director); Bret Easton Ellis (screenplay); Lindsay Lohan, James Deen, Gerard Funk, Amanda Brooks",
2-Aug-13,Europa Report,Wayfare Entertainment,"Sebastián Cordero (director); Philip Gelatt (screenplay); Sharlto Copley, Michael Nyqvist, Daniel Wu, Anamaria Marinca, Christian Camargo, Karolina Wydra, Embeth Davidtz, Dan Fogler",
2-Aug-13,The Spectacular Now,A24,"James Ponsoldt (director); Scott Neustadter, Michael Weber (screenplay); Miles Teller, Shailene Woodley, Kaitlyn Dever, Brie Larson, Dayo Okeniyi, Kyle Chandler, Bob Odenkirk, Andre Royo, Mary Elizabeth Winstead",
7-Aug-13,Percy Jackson: Sea of Monsters,Fox 2000 Pictures,"Thor Freudenthal (director); Scott Alexander, Larry Karaszewski (screenplay); Logan Lerman, Alexandra Daddario, Douglas Smith, Mary Birdsong, Yvette Nicole Brown, Missi Pyle, Nathan Fillion, Anthony Stewart Head, Paloma Kwaitkowski, Leven Rambin, Stanley Tucci, Robert Maillet",
7-Aug-13,We're the Millers,Warner Bros. Pictures / New Line Cinema,"Rawson Thurber (director); Sean Anders, Steve Faber, Bob Fisher, Dan Fybel, John Morris, Rick Rinaldi (screenplay); Jennifer Aniston, Jason Sudeikis, Emma Roberts, Ed Helms, Thomas Lennon, Nick Offerman, Kathryn Hahn, Will Poulter",
9-Aug-13,Attarintiki Daredi,Sri Venkateswara Cine Chitra,"Trivikram Srinivas (director/screenplay); Pawan Kalyan, Samantha, Pranitha Subhash, Ali, Brahmanandam, M. S. Narayana, Boman Irani, Kota Srinivasa Rao",
9-Aug-13,Chennai Express,Red Chillies Entertainment,"Rohit Shetty (director); Yunus Sajawal (screenplay); Shahrukh Khan, Deepika Padukone, Sathyaraj, Manorama, Nikitin Dheer",
